"","RANK","RevRank","TEAM","SEASON","Forbes_Value","DEA_crs","DEA_vrs","Revenue","TicketRevenue","operatingIncome","PAYROLL","PAYROLLINFADJ","Champion","final","MANAGER","MTENURE","MGAMES","MTEAM","MWIN","MLOSS","MWINP","MPGAMES","PGAMES","MPWIN","MPLOSS","MPLWINP","MDIVCH","MCH","MFINALS","MCAREERCH","GP","W.x","L.x","WINP","MIN...35","PTS","FGM","FGA","FGP","THREEPM","THREEPA","THREEPP","FTM","FTA","FTP","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","+/-","MIN...57","OFFRTG","DEFRTG","NETRTG","ASTP","ASTtoTO","ASTRATIO","OREBP","DREBP","REB%","TOVP","EFGP","TSP","PACE","PIE","POSS","MINAVG","OPPFGM","OPPFGA","OPPFGP","OPP3PM","OPP3PA","OPP3PP","OPPFTM","OPPFTA","OPPFTP","OPPOREB","OPPDREB","OPPREB","OPPAST","OPPTOV","OPPSTL","OPPBLK","OPPBLKA","OPPPF","OPPPFD","OPPPTS","OPPMargin","Diff_value","Diff_revenue","DFG%","PASSES_MADE","DRIVE_PTS","DRIVE_PASS%","CATCH&SHOOT_PTS","AVG_SPEED","AVG_SPEED_OFF","AVG_SPEED_DEF","AVG_SEC_PER_TOUCH","SECONDARY_AST","POTENTIAL_AST","operatingIncome2","MIN...109","SCREEN_ASSISTS","SCREEN_ASSISTS_PTS","DEFLECTIONS","OFF_LOOSE_BALLS_RECOVERED","DEF_LOOSE_BALLS_RECOVERED","LOOSE_BALLS_RECOVERED","PER_LOOSE_BALLS_RECOVERED_OFF","PER_LOOSE_BALLS_RECOVERED_DEF","CHARGES_DRAWN","CONTESTED_2PT_SHOTS","CONTESTED_3PT_SHOTS","CONTESTED_SHOTS","Age","W.y","L.y","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%","OFF_eFG%","OFF_TOV%","OFF_ORB%","OFF_FT/FGA","DEF_eFG%","DEF_TOV%","DEF_DRB%","DEF_FT/FGA","Arena","Attend.","Attend./G","DEA_crs1","DEA_crs2","DEA_crs3","resid"
"1",12,19,"Blazers",2016,975,0.873460315,0.996218874,178,42.1,41,61685814,76593768,0,0,"Terry Stotts",8,611,3,44,38,0.537,32,11,5,6,0.455,0,0,0,0,82,44,38,0.537,48.3,105.1,38.6,85.9,45,10.5,28.5,37,17.4,23,75.4,11.6,33.9,45.5,21.3,14.6,6.9,4.6,5.2,21.7,19.5,0.8,3961,107.6,106.8,0.8,55.2,1.46,16,29.4,72.8,51,15,51.1,54.8,97.06,49.3,8012,48.3,38.4,84.7,45.3,8.5,23,37.1,19,26,73.4,10.6,33.1,43.7,21.6,13.3,7.7,5.2,4.6,19.5,21.7,104.3,-0.8,35,21,58,281.8,19.7,29.7,27.8,4.29,4.65,3.93,3.24,2.5,45.3,140,48.3,0,0,0,0,0,0,0,0,0,0,0,0,24.3,44,38,43,39,0.83,0.15,0.98,108.8,108,0.8,96,0.268,0.332,0.548,0.511,13.2,25.9,0.202,0.503,12.1,76.2,0.225,"Moda Center",794085,19368,0.857713297,0.704961453,1,-46.4071179917508
"2",15,16,"Blazers",2017,1050,0.766334277,0.969489732,223,42,25,119732234,147200523,0,0,"Terry Stotts",9,693,3,41,41,0.5,36,4,0,4,0,0,0,0,0,82,41,41,0.5,48.6,107.9,39.5,86.1,45.9,10.4,27.7,37.5,18.5,23.7,78,10.1,33.5,43.7,21.1,13.7,7,5,5.3,21.2,19.8,-0.5,3986,109.4,110,-0.6,53.4,1.54,16,26.9,72,49.6,13.9,52,55.9,97.38,49.3,8088,48.6,39.2,86.2,45.5,9.3,25.1,37,20.8,26.5,78.5,10.1,33.9,44,20.6,12.8,7.7,5.3,5,19.8,21.2,108.5,0.5,75,45,58.1,277.4,22.2,27.6,27.3,4.28,4.64,3.91,3.3,2.5,44.1,124,48.6,12.7,28.7,14.3,0,0,7,0,0,0.37,47,20.4,67.3,24.8,41,41,40,42,-0.52,0.3,-0.23,110.3,110.8,-0.5,96.7,0.275,0.322,0.559,0.52,12.5,23,0.214,0.508,11.6,76.8,0.241,"Moda Center",792029,19318,0.680378458,0.367727804,0.716683403,-66.2526314019975
"3",7,24,"Blazers",2018,1300,0.925369287,1,246,46.1,40,118708146,143595874,0,0,"Terry Stotts",10,775,3,49,33,0.598,40,4,0,4,0,1,0,0,0,82,49,33,0.598,48.2,105.6,39.3,87,45.2,10.3,28.1,36.6,16.7,20.9,80,10.2,35.3,45.5,19.5,13.5,7,5.2,5.1,19.5,19.1,2.6,3951,108.4,105.7,2.7,49.6,1.44,15,27.9,74.6,51.3,13.9,51.1,54.9,97.11,51,7992,48.2,38.4,85.9,44.7,9.7,26.6,36.4,16.6,22,75.5,9.3,33.6,42.9,20.2,12.6,7.3,5.1,5.2,19.1,19.5,103,-2.6,250,23,58.8,271,20.3,26.3,24.2,4.29,4.58,3.99,3.4,2.2,40.1,139,48.2,11.6,27.2,12.6,3.5,5,8.5,41.1,58.9,0.2,43.6,19.7,63.3,25.6,49,33,48,34,2.6,0,2.6,109.1,106.4,2.7,96.5,0.24,0.324,0.549,0.511,12.3,23.3,0.192,0.503,11.7,79.1,0.193,"Moda Center",795750,19409,0.90087561,0.409154447,0.920774405,58.4682849045075
"4",5,26,"Blazers",2019,1600,0.976254575,1,287,52.8,51,130256600,153167248,0,0,"Terry Stotts",11,857,3,53,29,0.646,56,16,8,8,0.5,0,0,0,0,82,53,29,0.646,48.4,114.7,42.3,90.6,46.7,11,30.7,35.9,19,23.3,81.4,11.8,36.2,48,23,13.8,6.7,5,5.1,20.4,20.7,4.2,3971,113.7,109.5,4.2,54.4,1.66,16.6,30.8,73.9,52.6,13.7,52.8,56.8,99.96,52.1,8269,48.4,41.1,90,45.7,10.7,29.8,35.9,17.5,22.8,77,10.3,32.6,42.8,23.2,12.4,7.4,5.1,5,20.7,20.4,110.5,-4.2,300,41,63.9,281.7,22.5,34.3,23.3,4.19,4.49,3.86,3.28,2.8,42.1,150,48.4,11,25.9,12.3,4,4.2,8.2,49.3,50.7,0.22,42.4,22.2,64.5,26.2,53,29,51,31,4.2,0.24,4.43,114.7,110.5,4.2,99.1,0.258,0.339,0.568,0.528,12.1,26.6,0.21,0.516,11,77.9,0.195,"Moda Center",799345,19496,0.972689034,0.435025635,1,40.6699917364244
"5",15,16,"Blazers",2020,1850,0.798249593,1,240,42.6,27,131979953,152676863,0,0,"Terry Stotts",12,931,3,35,39,0.473,61,5,1,4,0.2,0,0,0,0,74,35,39,0.473,48.2,115,42.2,91.2,46.3,12.9,34.1,37.7,17.7,22.1,80.4,10.2,35.1,45.3,20.6,12.8,6.3,6.1,4.9,21.7,20.1,-1.1,3567,113.2,114.3,-1.1,48.8,1.61,15.2,26.6,71.2,49.2,12.6,53.3,57,101.17,48.6,7519,48.2,41.8,91.6,45.6,13.6,35.4,38.3,19.1,24.7,77.1,11.5,35.4,46.9,24.9,12.9,6.8,4.9,6.1,20.1,21.7,116.1,1.1,250,-47,60.9,243.4,24.8,28.8,26,4.11,4.38,3.84,3.54,2.5,38.3,126,48.2,11.3,26.6,13.1,3.4,3.4,6.7,49.8,50.2,0.35,37.3,23.8,61.1,27.5,35,39,34,40,-1.15,0.54,-0.61,113.7,114.8,-1.1,100.7,0.242,0.374,0.57,0.533,11.2,22.4,0.194,0.53,11.2,75.3,0.208,"Moda Center",628303,19634,0.68081816,0.359034319,0.761350464,77.5015672265948
"6",8,23,"Blazers",2021,1900,0.887914547,1,201,0,19,131904647,151610748,0,0,"Terry Stotts",13,1003,3,42,30,0.583,67,6,2,4,0.333,0,0,0,0,72,42,30,0.583,48.1,116.1,41.3,91.1,45.3,15.7,40.8,38.5,17.8,21.6,82.3,10.6,33.9,44.5,21.3,11.1,6.9,5,4.6,18.9,19.1,1.8,3461,117.1,115.3,1.8,51.5,1.92,15.9,27.3,73.1,49.5,11.2,54,57.7,98.97,49.3,7137,48.1,41.8,88.3,47.3,12.9,34.6,37.2,17.9,22.8,78.7,9.9,35.5,45.4,24.9,12.4,6.1,4.6,5,19.1,18.9,114.3,-1.8,50,-39,66.2,244.6,20.4,30.1,27.8,4.06,4.31,3.8,3.5,2.7,39.3,118,48.1,11.2,27.3,13.7,2.4,2.7,5.1,47.3,52.7,0.33,27,20.7,47.7,27.4,42,30,40,32,1.79,0.01,1.81,117.8,116,1.8,98.4,0.238,0.448,0.577,0.54,9.9,23,0.195,0.546,11.2,77.5,0.203,"Moda Center",5817,162,0.82533297,0.300862911,0.82533297,-62.0595465216252
"7",21,10,"Bucks",2016,675,0.741967782,1,146,30.5,24,73843541,91689719,0,0,"Jason Kidd",3,246,2,33,49,0.402,18,0,0,0,0,0,0,0,0,82,33,49,0.402,48.4,99,38.4,82.2,46.7,5.4,15.6,34.5,17,22.7,74.7,10.5,31.2,41.7,23.1,15.2,8.2,5.8,5.6,20.7,19.5,-4.2,3966,103.4,107.8,-4.5,60.3,1.52,17.6,28.6,68.9,49,15.9,49.9,53.7,95.05,48.3,7858,48.4,37.8,83.1,45.4,9.3,26.5,35.2,18.4,23.9,76.8,11.5,31.5,43,24.5,15.5,8.3,5.6,5.8,19.5,20.7,103.2,4.2,75,20,61.4,289.4,18.2,34.7,19.7,4.22,4.47,3.98,3.05,3,44.8,123,48.4,0,0,0,0,0,0,0,0,0,0,0,0,23.5,33,49,29,53,-4.18,0.2,-3.98,104.3,108.7,-4.4,94.2,0.276,0.189,0.537,0.499,14.2,24.9,0.207,0.51,14.2,73.1,0.221,"BMO Harris Bradley Center",621808,15166,0.758879533,0.517386667,0.910452479,53.4848819028908
"8",13,18,"Bucks",2017,785,0.719944594,0.971848416,179,33.8,20,96245877,118326058,0,0,"Jason Kidd",4,328,2,42,40,0.512,24,6,2,4,0.333,0,0,0,0,82,42,40,0.512,48.2,103.6,38.8,81.9,47.4,8.8,23.7,37,17.2,22.4,76.8,8.8,31.6,40.4,24.2,14,8.1,5.3,4.6,20.2,19.3,-0.2,3956,108.5,108.7,-0.2,62.4,1.73,18.5,26,70.6,48.7,14.6,52.7,56.5,94.99,50.4,7828,48.2,38,82.9,45.8,10,28.2,35.3,17.9,23.2,77.1,10.3,32.1,42.4,24.1,14.7,7.4,4.6,5.3,19.3,20.2,103.8,0.2,110,33,62.8,289,20,33.6,28,4.19,4.45,3.94,3.02,3.1,47.5,119,48.2,7.8,17.3,15.7,0,0,7.1,0,0,0.5,39.6,24.2,63.8,25.6,42,40,40,42,-0.18,-0.26,-0.45,109.1,109.3,-0.2,94.5,0.274,0.29,0.565,0.527,13.2,21.5,0.21,0.518,13.6,75.4,0.215,"BMO Harris Bradley Center",648952,15828,0.64991135,0.384049728,0.679622848,46.3086171068434
"9",15,16,"Bucks",2018,1075,0.780256551,0.98842751,204,37.7,25,120521249,145789098,0,0,"Jason Kidd",5,373,2,23,22,0.511,24,0,0,0,0,0,0,0,0,82,44,38,0.537,48.4,106.5,39.7,83,47.8,8.8,24.7,35.5,18.3,23.4,78.3,8.4,31.5,39.8,23.2,13.8,8.8,5.4,4.5,21.4,19.9,-0.3,3966,109,109.1,-0.2,58.5,1.68,17.7,24.4,70.9,48,14.2,53.1,57.1,97.03,50.2,8013,48.4,39.1,83.7,46.8,10.1,27.1,37.2,18.4,23.5,78.3,10,32.8,42.7,23.6,15.6,7.1,4.5,5.4,19.9,21.4,106.8,0.3,290,25,63.5,284.6,21.9,36.1,24.9,4.24,4.51,3.99,2.99,2.9,42.8,124,48.4,8.5,18.5,15.7,3.6,5.2,8.7,40.7,59.1,0.39,39.8,22.1,61.9,25.9,44,38,40,42,-0.3,-0.15,-0.45,109.8,110.1,-0.3,96.2,0.281,0.297,0.571,0.531,12.9,20.4,0.22,0.528,14.2,75.9,0.22,"BMO Harris Bradley Center",685303,16856,0.760135311,0.334194451,0.772389458,176.380432174528
"10",1,30,"Bucks",2019,1350,0.972077428,1,283,46.9,69,130988604,154028001,0,0,"Mike Budenholzer",6,492,2,60,22,0.732,54,15,10,5,0.667,1,0,0,0,82,60,22,0.732,48.2,118.1,43.4,91.1,47.6,13.5,38.2,35.3,17.9,23.2,77.3,9.3,40.4,49.7,26,13.9,7.5,5.9,4.8,19.6,20.2,8.9,3956,113.5,104.9,8.6,60.1,1.88,18.3,25,75.7,51.6,13.3,55,58.3,103.57,55.3,8533,48.2,40.5,93.5,43.3,13.1,36.3,36.1,15.1,20.7,73.3,9.9,35.4,45.3,24.8,13.4,6.8,4.8,5.9,20.2,19.6,109.3,-8.9,275,79,59.2,284.5,29.7,38.4,31.5,4.24,4.64,3.87,2.97,2.8,46.8,168,48.2,6.8,16.1,13.2,4.2,4.4,8.6,48.4,51.6,0.72,45.2,28.9,74.2,26.9,60,22,61,21,8.87,-0.82,8.04,113.8,105.2,8.6,103.3,0.255,0.419,0.583,0.55,12,20.8,0.197,0.503,11.5,80.3,0.162,"Fiserv Forum",721692,17602,0.875034833,0.426565388,0.882018405,26.783000822637
