yearDraft,nameTeam,numberPickOverall,player,OrganizationFrom
2023,San Antonio Spurs,1,Victor Wembanyama,Metropolitans 92
2023,Charlotte Hornets,2,Brandon Miller,Alabama
2023,Portland Trail Blazers,3,Scoot Henderson,Ignite
2023,Houston Rockets,4,Amen Thompson,Overtime Elite
2023,Detroit Pistons,5,Ausar Thompson,Overtime Elite
2023,Orlando Magic,6,Anthony Black,Arkansas
2023,Indiana Pacers,7,Bilal Coulibaly,Metropolitans 92
2023,Washington Wizards,8,Jarace Walker,Houston
2023,Utah Jazz,9,Taylor Hendricks,Central Florida
2023,Dallas Mavericks,10,Cason Wallace,Kentucky
2023,Orlando Magic,11,Jett Howard,Michigan
2023,Oklahoma City Thunder,12,Dereck Lively II,Duke
2023,Toronto Raptors,13,Gradey Dick,Kansas
2023,New Orleans Pelicans,14,Jordan Hawkins,Connecticut
2023,Atlanta Hawks,15,Kobe Bufkin,Michigan
2023,Utah Jazz,16,Keyonte George,Baylor
2023,Los Angeles Lakers,17,Jalen Hood-Schifino,Indiana
2023,Miami Heat,18,Jaime Jaquez Jr.,California-Los Angeles
2023,Golden State Warriors,19,Brandin Podziemski,Santa Clara
2023,Houston Rockets,20,Cam Whitmore,Villanova
2023,Brooklyn Nets,21,Noah Clowney,Alabama
2023,Brooklyn Nets,22,Dariq Whitehead,Duke
2023,Portland Trail Blazers,23,Kris Murray,Iowa
2023,Sacramento Kings,24,Olivier-Maxence Prosper,Marquette
2023,Memphis Grizzlies,25,Marcus Sasser,Houston
2023,Indiana Pacers,26,Ben Sheppard,Belmont
2023,Charlotte Hornets,27,Nick Smith Jr.,Arkansas
2023,Utah Jazz,28,Brice Sensabaugh,Ohio State
2023,Indiana Pacers,29,Julian Strawther,Gonzaga
2023,LA Clippers,30,Kobe Brown,Missouri
2023,Detroit Pistons,31,James Nnaji,FC Barcelona Basquet
2023,Indiana Pacers,32,Jalen Pickett,Penn State
2023,San Antonio Spurs,33,Leonard Miller,Ignite
2023,Charlotte Hornets,34,Colby Jones,Xavier
2023,Boston Celtics,35,Julian Phillips,Tennessee
2023,Orlando Magic,36,Andre Jackson Jr.,Connecticut
2023,Oklahoma City Thunder,37,Hunter Tyson,Clemson
2023,Sacramento Kings,38,Jordan Walsh,Arkansas
2023,Charlotte Hornets,39,Mouhamed Gueye,Washington State
2023,Denver Nuggets,40,Maxwell Lewis,Pepperdine
2023,Charlotte Hornets,41,Amari Bailey,California-Los Angeles
2023,Washington Wizards,42,Tristan Vukcevic,Real Madrid Baloncesto
2023,Portland Trail Blazers,43,Rayan Rupert,Breakers
2023,San Antonio Spurs,44,Sidy Cissoko,Ignite
2023,Memphis Grizzlies,45,GG Jackson,South Carolina
2023,Atlanta Hawks,46,Seth Lundy,Penn State
2023,Los Angeles Lakers,47,Mojave King,Ignite
2023,LA Clippers,48,Jordan Miller,Miami (FL)
2023,Cleveland Cavaliers,49,Emoni Bates,Eastern Michigan
2023,Oklahoma City Thunder,50,Keyontae Johnson,Kansas State
2023,Brooklyn Nets,51,Jalen Wilson,Kansas
2023,Phoenix Suns,52,Toumani Camara,Dayton
2023,Minnesota Timberwolves,53,Jaylen Clark,California-Los Angeles
2023,Sacramento Kings,54,Jalen Slawson,Furman
2023,Indiana Pacers,55,Isaiah Wong,Miami (FL)
2023,Memphis Grizzlies,56,Tarik Biberovic,Fenerbahce S.K.
2023,Washington Wizards,57,Trayce Jackson-Davis,Indiana
2023,Milwaukee Bucks,58,Chris Livingston,Kentucky
2022,Orlando Magic,1,Paolo Banchero,Duke
2022,Oklahoma City Thunder,2,Chet Holmgren,Gonzaga
2022,Houston Rockets,3,Jabari Smith Jr.,Auburn
2022,Sacramento Kings,4,Keegan Murray,Iowa
2022,Detroit Pistons,5,Jaden Ivey,Purdue
2022,Indiana Pacers,6,Bennedict Mathurin,Arizona
2022,Portland Trail Blazers,7,Shaedon Sharpe,Kentucky
2022,New Orleans Pelicans,8,Dyson Daniels,Ignite
2022,San Antonio Spurs,9,Jeremy Sochan,Baylor
2022,Washington Wizards,10,Johnny Davis,Wisconsin
2022,New York Knicks,11,Ousmane Dieng,Breakers
2022,Oklahoma City Thunder,12,Jalen Williams,Santa Clara
2022,Charlotte Hornets,13,Jalen Duren,Memphis
2022,Cleveland Cavaliers,14,Ochai Agbaji,Kansas
2022,Charlotte Hornets,15,Mark Williams,Duke
2022,Atlanta Hawks,16,AJ Griffin,Duke
2022,Houston Rockets,17,Tari Eason,Louisiana State
2022,Chicago Bulls,18,Dalen Terry,Arizona State
2022,Minnesota Timberwolves,19,Jake LaRavia,Wake Forest
2022,San Antonio Spurs,20,Malaki Branham,Ohio State
2022,Denver Nuggets,21,Christian Braun,Kansas
2022,Memphis Grizzlies,22,Walker Kessler,Auburn
